Fighter;Result;Opponent;Method;Date;Fight Number
Gilbert Burns;def.;Tyron Woodley;Decision;May 30, 2020;11
Augusto Sakai;def.;Blagoy Ivanov;Decision;May 30, 2020;10
Billy Quarantillo;def.;Spike Carlyle;Decision;May 30, 2020;9
Roosevelt Roberts;def.;Brok Weaver;Submission;May 30, 2020;8
Mackenzie Dern;def.;Hannah Cifers;Submission;May 30, 2020;7
Katlyn Chookagian;def.;Antonina Shevchenko;Decision;May 30, 2020;6
Daniel Rodriguez;def.;Gabriel Green;Decision;May 30, 2020;5
Jamahal Hill;def.;Klidson Abreu;TKO;May 30, 2020;4
Brandon Royval;def.;Tim Elliott;Submission;May 30, 2020;3
Casey Kenney;def.;Louis Smolka;Submission;May 30, 2020;2
Chris Gutiérrez;def.;Vince Morales;TKO;May 30, 2020;1
Alistair Overeem;def.;Walt Harris;TKO;May 16, 2020;11
Cláudia Gadelha;def.;Angela Hill;Decision;May 16, 2020;10
Dan Ige;def.;Edson Barboza;Decision;May 16, 2020;9
Krzysztof Jotko;def.;Eryk Anders;Decision;May 16, 2020;8
Song Yadong;def.;Marlon Vera;Decision;May 16, 2020;7
Miguel Baeza;def.;Matt Brown;TKO;May 16, 2020;6
Kevin Holland;def.;Anthony Hernandez;TKO;May 16, 2020;5
Giga Chikadze;def.;Irwin Rivera;Decision;May 16, 2020;4
Nate Landwehr;def.;Darren Elkins;Decision;May 16, 2020;3
Cortney Casey;def.;Mara Romero Borella;Submission;May 16, 2020;2
Rodrigo Nascimento;def.;Don’Tale Mayes;Submission;May 16, 2020;1
Glover Teixeira;def.;Anthony Smith;TKO;May 13, 2020;10
Ben Rothwell;def.;Ovince Saint Preux;Decision;May 13, 2020;9
Drew Dober;def.;Alexander Hernandez;TKO;May 13, 2020;8
Ricky Simon;def.;Ray Borg;Decision;May 13, 2020;7
Andrei Arlovski;def.;Philipe Lins;Decision;May 13, 2020;6
Thiago Moisés;def.;Michael Johnson;Submission;May 13, 2020;5
Sijara Eubanks;def.;Sarah Moras;Decision;May 13, 2020;4
Omar Morales;def.;Gabriel Benítez;Decision;May 13, 2020;3
Brian Kelleher;def.;Hunter Azure;KO;May 13, 2020;2
Chase Sherman;def.;Isaac Villanueva;TKO;May 13, 2020;1
Justin Gaethje;def.;Tony Ferguson;TKO;May 9, 2020;11
Henry Cejudo;def.;Dominick Cruz;TKO;May 9, 2020;10
Francis Ngannou;def.;Jairzinho Rozenstruik;KO;May 9, 2020;9
Calvin Kattar;def.;Jeremy Stephens;TKO;May 9, 2020;8
Greg Hardy;def.;Yorgan de Castro;Decision;May 9, 2020;7
Anthony Pettis;def.;Donald Cerrone;Decision;May 9, 2020;6
Aleksei Oleinik;def.;Fabrício Werdum;Decision;May 9, 2020;5
Carla Esparza;def.;Michelle Waterson;Decision;May 9, 2020;4
Vicente Luque;def.;Niko Price;TKO;May 9, 2020;3
Bryce Mitchell;def.;Charles Rosa;Decision;May 9, 2020;2
Ryan Spann;def.;Sam Alvey;Decision;May 9, 2020;1
Glover Teixeira;def.;Anthony Smith;TKO;May 13, 2020;10
Ben Rothwell;def.;Ovince Saint Preux;Decision;May 13, 2020;9
Drew Dober;def.;Alexander Hernandez;TKO;May 13, 2020;8
Ricky Simon;def.;Ray Borg;Decision;May 13, 2020;7
Andrei Arlovski;def.;Philipe Lins;Decision;May 13, 2020;6
Thiago Moisés;def.;Michael Johnson;Submission;May 13, 2020;5
Sijara Eubanks;def.;Sarah Moras;Decision;May 13, 2020;4
Omar Morales;def.;Gabriel Benítez;Decision;May 13, 2020;3
Brian Kelleher;def.;Hunter Azure;KO;May 13, 2020;2
Chase Sherman;def.;Isaac Villanueva;TKO;May 13, 2020;1
Charles Oliveira;def.;Kevin Lee;Submission;March 14, 2020;12
Gilbert Burns;def.;Demian Maia;TKO;March 14, 2020;11
Renato Moicano;def.;Damir Hadžović;Submission;March 14, 2020;10
Nikita Krylov;def.;Johnny Walker;Decision;March 14, 2020;9
Francisco Trinaldo;def.;John Makdessi;Decision;March 14, 2020;8
Brandon Moreno;def.;Jussier Formiga;Decision;March 14, 2020;7
Amanda Ribas;def.;Randa Markos;Decision;March 14, 2020;6
Elizeu Zaleski dos Santos;def.;Alexey Kunchenko;Decision;March 14, 2020;5
Enrique Barzola;vs.;Rani Yahya;Draw;March 14, 2020;4
Maryna Moroz;def.;Mayra Bueno Silva;Decision;March 14, 2020;3
David Dvořák;def.;Bruno Gustavo da Silva;Decision;March 14, 2020;2
Bea Malecki;def.;Veronica Macedo;Decision;March 14, 2020;1
Israel Adesanya;def.;Yoel Romero;Decision;March 7, 2020;11
Zhang Weili;def.;Joanna Jędrzejczyk;Decision;March 7, 2020;10
Beneil Dariush;def.;Drakkar Klose;KO;March 7, 2020;9
Neil Magny;def.;Li Jingliang;Decision;March 7, 2020;8
Alex Oliveira;def.;Max Griffin;Decision;March 7, 2020;7
Sean O'Malley;def.;José Alberto Quiñónez;TKO;March 7, 2020;6
Mark Madsen;def.;Austin Hubbard;Decision;March 7, 2020;5
Rodolfo Vieira;def.;Saparbek Safarov;Submission;March 7, 2020;4
Gerald Meerschaert;def.;Deron Winn;Submission;March 7, 2020;3
Giga Chikadze;def.;Jamall Emmers;Decision;March 7, 2020;2
Danaa Batgerel;def.;Guido Cannetti;KO;March 7, 2020;1
Deiveson Figueiredo;def.;Joseph Benavidez;TKO;February 29, 2020;12
Felicia Spencer;def.;Zarah Fairn dos Santos;TKO;February 29, 2020;11
Magomed Ankalaev;def.;Ion Cuțelaba;TKO;February 29, 2020;10
Megan Anderson;def.;Norma Dumont Viana;KO;February 29, 2020;9
Grant Dawson;def.;Darrick Minner;Submission;February 29, 2020;8
Kyler Phillips;def.;Gabriel Silva;Decision;February 29, 2020;7
Brendan Allen;def.;Tom Breese;TKO;February 29, 2020;6
Marcin Tybura;def.;Sergey Spivak;Decision;February 29, 2020;5
Luis Peña;def.;Steve Garcia;Decision;February 29, 2020;4
Jordan Griffin;def.;T.J. Brown;Technical Submission;February 29, 2020;3
Spike Carlyle;def.;Aalon Cruz;TKO;February 29, 2020;2
Sean Brady;def.;Ismail Naurdiev;Decision;February 29, 2020;1
Dan Hooker;def.;Paul Felder;Decision;February 23, 2020;12
Jimmy Crute;def.;Michał Oleksiejczuk;Submission;February 23, 2020;11
Yan Xiaonan;def.;Karolina Kowalkiewicz;Decision;February 23, 2020;10
Marcos Rogério de Lima;def.;Ben Sosoli;TKO;February 23, 2020;9
Brad Riddell;def.;Magomed Mustafaev;Decision;February 23, 2020;8
Zubaira Tukhugov;def.;Kevin Aguilar;TKO;February 23, 2020;7
Jalin Turner;def.;Joshua Culibao;TKO;February 23, 2020;6
Jake Matthews;def.;Emil Weber Meek;Decision;February 23, 2020;5
Song Kenan;def.;Callan Potter;KO;February 23, 2020;4
Kai Kara-France;def.;Tyson Nam;Decision;February 23, 2020;3
Angela Hill;def.;Loma Lookboonmee;Decision;February 23, 2020;2
Priscila Cachoeira;def.;Shana Dobson;KO;February 23, 2020;1
Jan Błachowicz;def.;Corey Anderson;KO;February 15, 2020;13
Diego Sanchez;def.;Michel Pereira;DQ;February 15, 2020;12
Montana De La Rosa;def.;Mara Romero Borella;Decision;February 15, 2020;11
Brok Weaver;def.;Kazula Vargas;DQ;February 15, 2020;10
Ray Borg;def.;Rogério Bontorin;Decision;February 15, 2020;9
Lando Vannata;def.;Yancy Medeiros;Decision;February 15, 2020;8
Daniel Rodriguez;def.;Tim Means;Submission;February 15, 2020;7
John Dodson;def.;Nathaniel Wood;TKO;February 15, 2020;6
Scott Holtzman;def.;Jim Miller;Decision;February 15, 2020;5
Devin Clark;def.;Dequan Townsend;Decision;February 15, 2020;4
Merab Dvalishvili;def.;Casey Kenney;Decision;February 15, 2020;3
Macy Chiasson;def.;Shanna Young;Decision;February 15, 2020;2
Raulian Paiva;def.;Mark De La Rosa;KO;February 15, 2020;1
Jon Jones;def.;Dominick Reyes;Decision;February 8, 2020;12
Valentina Shevchenko;def.;Katlyn Chookagian;TKO;February 8, 2020;11
Justin Tafa;def.;Juan Adams;TKO;February 8, 2020;10
Dan Ige;def.;Mirsad Bektić;Decision;February 8, 2020;9
Derrick Lewis;def.;Ilir Latifi;Decision;February 8, 2020;8
Trevin Giles;def.;James Krause;Decision;February 8, 2020;7
Lauren Murphy;def.;Andrea Lee;Decision;February 8, 2020;6
Kalinn Williams;def.;Alex Morono;KO;February 8, 2020;5
Mario Bautista;def.;Miles Johns;TKO;February 8, 2020;4
Journey Newson;vs.;Domingo Pilarte;No Contest;February 8, 2020;3
Andre Ewell;def.;Jonathan Martinez;Decision;February 8, 2020;2
Youssef Zalal;def.;Austin Lingo;Decision;February 8, 2020;1
Curtis Blaydes;def.;Junior dos Santos;TKO;January 25, 2020;12
Michael Chiesa;def.;Rafael dos Anjos;Decision;January 25, 2020;11
Alex Perez;def.;Jordan Espinosa;Technical Submission;January 25, 2020;10
Angela Hill;def.;Hannah Cifers;TKO;January 25, 2020;9
Jamahal Hill;def.;Darko Stošić;Decision;January 25, 2020;8
Bevon Lewis;def.;Dequan Townsend;Decision;January 25, 2020;7
Arnold Allen;def.;Nik Lentz;Decision;January 25, 2020;6
Justine Kish;def.;Lucie Pudilová;Decision;January 25, 2020;5
Montel Jackson;def.;Felipe Colares;Decision;January 25, 2020;4
Sara McMann;def.;Lina Länsberg;Decision;January 25, 2020;3
Brett Johns;def.;Tony Gravely;Submission;January 25, 2020;2
Herbert Burns;def.;Nate Landwehr;KO;January 25, 2020;1
Conor McGregor;def.;Donald Cerrone;TKO;January 18, 2020;11
Holly Holm;def.;Raquel Pennington;Decision;January 18, 2020;10
Aleksei Oleinik;def.;Maurice Greene;Submission;January 18, 2020;9
Brian Kelleher;def.;Ode Osbourne;Submission;January 18, 2020;8
Carlos Diego Ferreira;def.;Anthony Pettis;Submission;January 18, 2020;7
Roxanne Modafferi;def.;Maycee Barber;Decision;January 18, 2020;6
Sodiq Yusuff;def.;Andre Fili;Decision;January 18, 2020;5
Askar Askarov;def.;Tim Elliott;Decision;January 18, 2020;4
Drew Dober;def.;Nasrat Haqparast;KO;January 18, 2020;3
Aleksa Camur;def.;Justin Ledet;Decision;January 18, 2020;2
Sabina Mazo;def.;JJ Aldrich;Decision;January 18, 2020;1
Chan Sung Jung;def.;Frankie Edgar;TKO;December 21, 2019;13
Volkan Oezdemir;def.;Aleksandar Rakić;Decision;December 21, 2019;12
Charles Jourdain;def.;Doo Ho Choi;TKO;December 21, 2019;11
Da Un Jung;def.;Mike Rodríguez;KO;December 21, 2019;10
Jun Yong Park;def.;Marc-André Barriault;Decision;December 21, 2019;9
Kyung Ho Kang;def.;Liu Pingyuan;Decision;December 21, 2019;8
Ciryl Gane;def.;Tanner Boser;Decision;December 21, 2019;7
Seung Woo Choi;def.;Suman Mokhtarian;Decision;December 21, 2019;6
Omar Antonio Morales Ferrer;def.;Dong Hyun Ma;Decision;December 21, 2019;5
Alexandre Pantoja;def.;Matt Schnell;KO;December 21, 2019;4
Raoni Barcelos;def.;Said Nurmagomedov;Decision;December 21, 2019;3
Amanda Lemos;def.;Miranda Granger;Technical Submission;December 21, 2019;2
Heili Alateng;def.;Ryan Benoit;Decision;December 21, 2019;1
Kamaru Usman;def.;Colby Covington;TKO;December 14, 2019;13
Alexander Volkanovski;def.;Max Holloway;Decision;December 14, 2019;12
Amanda Nunes;def.;Germaine de Randamie;Decision;December 14, 2019;11
Marlon Moraes;def.;José Aldo;Decision;December 14, 2019;10
Petr Yan;def.;Urijah Faber;KO;December 14, 2019;9
Geoff Neal;def.;Mike Perry;TKO;December 14, 2019;8
Irene Aldana;def.;Ketlen Vieira;KO;December 14, 2019;7
Omari Akhmedov;def.;Ian Heinisch;Decision;December 14, 2019;6
Matt Brown;def.;Ben Saunders;KO;December 14, 2019;5
Chase Hooper;def.;Daniel Teymur;TKO;December 14, 2019;4
Brandon Moreno;def.;Kai Kara-France;Decision;December 14, 2019;3
Jessica Eye;def.;Viviane Araújo;Decision;December 14, 2019;2
Punahele Soriano;def.;Oskar Piechota;KO;December 14, 2019;1
Jairzinho Rozenstruik;def.;Alistair Overeem;KO;December 7, 2019;12
Marina Rodriguez;vs.;Cynthia Calvillo;Draw;December 7, 2019;11
Ben Rothwell;def.;Stefan Struve;TKO;December 7, 2019;10
Aspen Ladd;def.;Yana Kunitskaya;TKO;December 7, 2019;9
Cody Stamann;vs.;Song Yadong;Draw;December 7, 2019;8
Rob Font;def.;Ricky Simon;Decision;December 7, 2019;7
Tim Means;def.;Thiago Alves;Submission;December 7, 2019;6
Billy Quarantillo;def.;Jacob Kilburn;Submission;December 7, 2019;5
Bryce Mitchell;def.;Matt Sayles;Submission;December 7, 2019;4
Joe Solecki;def.;Matt Wiman;Decision;December 7, 2019;3
Virna Jandiroba;def.;Mallory Martin;Submission;December 7, 2019;2
Makhmud Muradov;def.;Trevor Smith;KO;December 7, 2019;1
Jan Błachowicz;def.;Ronaldo Souza;Decision;November 16, 2019;12
Maurício Rua;vs.;Paul Craig;Draw;November 16, 2019;11
Charles Oliveira;def.;Jared Gordon;KO;November 16, 2019;10
Andre Muniz;def.;Antonio Arroyo;Decision;November 16, 2019;9
Wellington Turman;def.;Markus Perez;Decision;November 16, 2019;8
James Krause;def.;Sérgio Moraes;KO;November 16, 2019;7
Ricardo Ramos;def.;Luiz Eduardo Garagorri;Submission;November 16, 2019;6
Francisco Trinaldo;def.;Bobby Green;Decision;November 16, 2019;5
Randy Brown;def.;Warlley Alves;Submission;November 16, 2019;4
Douglas Silva de Andrade;def.;Renan Barão;Decision;November 16, 2019;3
Ariane Lipski;def.;Isabella de Pádua;Decision;November 16, 2019;2
Tracy Cortez;def.;Vanessa Melo;Decision;November 16, 2019;1
Zabit Magomedsharipov;def.;Calvin Kattar;Decision;November 9, 2019;13
Alexander Volkov;def.;Greg Hardy;Decision;November 9, 2019;12
Danny Roberts;def.;Zelim Imadaev;KO;November 9, 2019;11
Ed Herman;def.;Khadis Ibragimov;Decision;November 9, 2019;10
Anthony Rocco Martin;def.;Ramazan Emeev;Decision;November 9, 2019;9
Shamil Gamzatov;def.;Klidson Abreu;Decision;November 9, 2019;8
Magomed Ankalaev;def.;Dalcha Lungiambula;KO;November 9, 2019;7
Rustam Khabilov;def.;Sergey Khandozhko;Decision;November 9, 2019;6
Karl Roberson;def.;Roman Kopylov;Submission;November 9, 2019;5
David Zawada;def.;Abubakar Nurmagomedov;Submission;November 9, 2019;4
Roosevelt Roberts;def.;Alexander Yakovlev;Decision;November 9, 2019;3
Pannie Kianzad;def.;Jessica-Rose Clark;Decision;November 9, 2019;2
Davey Grant;def.;Grigorii Popov;Decision;November 9, 2019;1
Jorge Masvidal;def.;Nate Diaz;TKO;November 2, 2019;12
Darren Till;def.;Kelvin Gastelum;Decision;November 2, 2019;11
Stephen Thompson;def.;Vicente Luque;Decision;November 2, 2019;10
Derrick Lewis;def.;Blagoy Ivanov;Decision;November 2, 2019;9
Kevin Lee;def.;Gregor Gillespie;KO;November 2, 2019;8
Corey Anderson;def.;Johnny Walker;TKO;November 2, 2019;7
Shane Burgos;def.;Makwan Amirkhani;TKO;November 2, 2019;6
Edmen Shahbazyan;def.;Brad Tavares;KO;November 2, 2019;5
Jairzinho Rozenstruik;def.;Andrei Arlovski;KO;November 2, 2019;4
Katlyn Chookagian;def.;Jennifer Maia;Decision;November 2, 2019;3
Lyman Good;def.;Chance Rencountre;TKO;November 2, 2019;2
Hakeem Dawodu;def.;Julio Arce;Decision;November 2, 2019;1
Demian Maia;def.;Ben Askren;Technical Submission;26 October 2019;11
Stevie Ray;def.;Michael Johnson;Decision;26 October 2019;10
Beneil Dariush;def.;Frank Camacho;Submission;26 October 2019;9
Ciryl Gane;def.;Don’Tale Mayes;Submission;26 October 2019;8
Muslim Salikhov;def.;Laureano Staropoli;Decision;26 October 2019;7
Randa Markos;def.;Ashley Yoder;Decision;26 October 2019;6
Rafael Fiziev;def.;Alex White;Decision;26 October 2019;5
Movsar Evloev;def.;Enrique Barzola;Decision;26 October 2019;4
Sergei Pavlovich;def.;Maurice Greene;TKO;26 October 2019;3
Loma Lookboonmee;def.;Aleksandra Albu;Decision;26 October 2019;2
Raphael Pessoa Nunes;def.;Jeff Hughes;Decision;26 October 2019;1
Dominick Reyes;def.;Chris Weidman;KO;October 18, 2019;13
Yair Rodríguez;def.;Jeremy Stephens;Decision;October 18, 2019;12
Greg Hardy;vs.;Ben Sosoli;No Contest;October 18, 2019;11
Joe Lauzon;def.;Jonathan Pearce;TKO;October 18, 2019;10
Maycee Barber;def.;Gillian Robertson;TKO;October 18, 2019;9
Darren Stewart;def.;Deron Winn;Decision;October 18, 2019;8
Charles Rosa;def.;Manny Bermudez;Verbal Submission;October 18, 2019;7
Molly McCann;def.;Diana Belbiţă;Decision;October 18, 2019;6
Sean Woodson;def.;Kyle Bochniak;Decision;October 18, 2019;5
Randy Costa;def.;Boston Salmon;TKO;October 18, 2019;4
Sean Brady;def.;Court McGee;Decision;October 18, 2019;3
Brendan Allen;def.;Kevin Holland;Submission;October 18, 2019;2
Tanner Boser;def.;Daniel Spitz;Decision;October 18, 2019;1
Joanna Jędrzejczyk;def.;Michelle Waterson;Decision;October 12, 2019;14
Cub Swanson;def.;Kron Gracie;Decision;October 12, 2019;13
Niko Price;def.;James Vick;KO;October 12, 2019;12
Amanda Ribas;def.;Mackenzie Dern;Decision;October 12, 2019;11
Matt Frevola;def.;Luis Peña;Decision;October 12, 2019;10
Eryk Anders;def.;Gerald Meerschaert;Decision;October 12, 2019;9
Ryan Spann;def.;Devin Clark;Submission;October 12, 2019;8
Mike Davis;def.;Thomas Gifford;KO;October 12, 2019;7
Alex Morono;def.;Max Griffin;Decision;October 12, 2019;6
Deiveson Figueiredo;def.;Tim Elliott;Submission;October 12, 2019;5
Marlon Vera;def.;Andre Ewell;TKO;October 12, 2019;4
Miguel Baeza;def.;Hector Aldana;TKO;October 12, 2019;3
Marvin Vettori;def.;Andrew Sanchez;Decision;October 12, 2019;2
JJ Aldrich;def.;Lauren Mueller;Decision;October 12, 2019;1
Israel Adesanya;def.;Robert Whittaker;KO;October 6, 2019;11
Dan Hooker;def.;Al Iaquinta;Decision;October 6, 2019;10
Sergey Spivak;def.;Tai Tuivasa;Technical Submission;October 6, 2019;9
Dhiego Lima;def.;Luke Jumeau;Decision;October 6, 2019;8
Yorgan de Castro;def.;Justin Tafa;KO;October 6, 2019;7
Jake Matthews;def.;Rostem Akman;Decision;October 6, 2019;6
Callan Potter;def.;Maki Pitolo;Decision;October 6, 2019;5
Brad Riddell;def.;Jamie Mullarkey;Decision;October 6, 2019;4
Megan Anderson;def.;Zarah Fairn dos Santos;Submission;October 6, 2019;3
Ji Yeon Kim;def.;Nadia Kassem;TKO;October 6, 2019;2
Khalid Taha;def.;Bruno Gustavo da Silva;Submission;October 6, 2019;1
Jared Cannonier;def.;Jack Hermansson;TKO;September 28, 2019;13
Mark Madsen;def.;Danilo Belluardo;TKO;September 28, 2019;12
Gilbert Burns;def.;Gunnar Nelson;Decision;September 28, 2019;11
Ion Cuțelaba;def.;Khalil Rountree Jr.;TKO;September 28, 2019;10
Ovince Saint Preux;def.;Michał Oleksiejczuk;Submission;September 28, 2019;9
Nicolas Dalby;def.;Alex Oliveira;Decision;September 28, 2019;8
John Phillips;def.;Alen Amedovski;KO;September 28, 2019;7
Makhmud Muradov;def.;Alessio Di Chirico;Decision;September 28, 2019;6
Ismail Naurdiev;def.;Siyar Bahadurzada;Decision;September 28, 2019;5
Giga Chikadze;def.;Brandon Davis;Decision;September 28, 2019;4
Lina Länsberg;def.;Macy Chiasson;Decision;September 28, 2019;3
Marc Diakiese;def.;Lando Vannata;Decision;September 28, 2019;2
Jack Shore;def.;Nohelin Hernandez;Submission;September 28, 2019;1
Yair Rodríguez;vs.;Jeremy Stephens;No Contest;September 21, 2019;12
Carla Esparza;def.;Alexa Grasso;Decision;September 21, 2019;11
Brandon Moreno;vs.;Askar Askarov;Draw;September 21, 2019;10
Irene Aldana;def.;Vanessa Melo;Decision;September 21, 2019;9
Steven Peterson;def.;Martín Bravo;KO;September 21, 2019;8
José Alberto Quiñónez;def.;Carlos Huachin;Decision;September 21, 2019;7
Kyle Nelson;def.;Polo Reyes;TKO;September 21, 2019;6
Angela Hill;def.;Ariane Carnelossi;TKO;September 21, 2019;5
Sergio Pettis;def.;Tyson Nam;Decision;September 21, 2019;4
Paul Craig;def.;Vinicius Moreira;Submission;September 21, 2019;3
Bethe Correia;def.;Sijara Eubanks;Decision;September 21, 2019;2
Claudio Puelles;def.;Marcos Rosa Mariano;Decision;September 21, 2019;1
Justin Gaethje;def.;Donald Cerrone;TKO;September 14, 2019;12
Glover Teixeira;def.;Nikita Krylov;Decision;September 14, 2019;11
Todd Duffee;vs.;Jeff Hughes;No Contest;September 14, 2019;10
Tristan Connelly;def.;Michel Pereira;Decision;September 14, 2019;9
Uriah Hall;def.;Antônio Carlos Júnior;Decision;September 14, 2019;8
Misha Cirkunov;def.;Jimmy Crute;Submission;September 14, 2019;7
Augusto Sakai;def.;Marcin Tybura;KO;September 14, 2019;6
Miles Johns;def.;Cole Smith;Decision;September 14, 2019;5
Hunter Azure;def.;Brad Katona;Decision;September 14, 2019;4
Chas Skelly;def.;Jordan Griffin;Decision;September 14, 2019;3
Louis Smolka;def.;Ryan MacDonald;TKO;September 14, 2019;2
Austin Hubbard;def.;Kyle Prepolec;Decision;September 14, 2019;1
Khabib Nurmagomedov;def.;Dustin Poirier;Submission;September 7, 2019;13
Paul Felder;def.;Edson Barboza;Decision;September 7, 2019;12
Islam Makhachev;def.;Davi Ramos;Decision;September 7, 2019;11
Curtis Blaydes;def.;Shamil Abdurakhimov;TKO;September 7, 2019;10
Carlos Diego Ferreira;def.;Mairbek Taisumov;Decision;September 7, 2019;9
Joanne Calderwood;def.;Andrea Lee;Decision;September 7, 2019;8
Zubaira Tukhugov;vs.;Lerone Murphy;Draw;September 7, 2019;7
Sarah Moras;def.;Liana Jojua;TKO;September 7, 2019;6
Ottman Azaitar;def.;Teemu Packalén;KO;September 7, 2019;5
Belal Muhammad;def.;Takashi Sato;Submission;September 7, 2019;4
Muslim Salikhov;def.;Nordine Taleb;KO;September 7, 2019;3
Omari Akhmedov;def.;Zak Cummings;Decision;September 7, 2019;2
Don Madge;def.;Fares Ziam;Decision;September 7, 2019;1
Zhang Weili;def.;Jéssica Andrade;TKO;August 31, 2019;11
Li Jingliang;def.;Elizeu Zaleski dos Santos;TKO;August 31, 2019;10
Kai Kara-France;def.;Mark De La Rosa;Decision;August 31, 2019;9
Song Kenan;def.;Derrick Krantz;Decision;August 31, 2019;8
Mizuki Inoue;def.;Wu Yanan;Decision;August 31, 2019;7
Anthony Hernandez;def.;Jun Yong Park;Submission;August 31, 2019;6
Su Mudaerji;def.;Andre Soukhamthath;Decision;August 31, 2019;5
Da Un Jung;def.;Khadis Ibragimov;Submission;August 31, 2019;4
Damir Ismagulov;def.;Thiago Moisés;Decision;August 31, 2019;3
Heili Alateng;def.;Danaa Batgerel;Decision;August 31, 2019;2
Karolline Rosa Cavedo;def.;Lara Fritzen Procópio;Decision;August 31, 2019;1
Stipe Miocic;def.;Daniel Cormier;TKO;August 17, 2019;12
Nate Diaz;def.;Anthony Pettis;Decision;August 17, 2019;11
Paulo Costa;def.;Yoel Romero;Decision;August 17, 2019;10
Sodiq Yusuff;def.;Gabriel Benítez;TKO;August 17, 2019;9
Derek Brunson;def.;Ian Heinisch;Decision;August 17, 2019;8
Khama Worthy;def.;Devonte Smith;TKO;August 17, 2019;7
Cory Sandhagen;def.;Raphael Assunção;Decision;August 17, 2019;6
Drakkar Klose;def.;Christos Giagos;Decision;August 17, 2019;5
Casey Kenney;def.;Manny Bermudez;Decision;August 17, 2019;4
Hannah Cifers;def.;Jodie Esquibel;Decision;August 17, 2019;3
Kyung Ho Kang;def.;Brandon Davis;Decision;August 17, 2019;2
Sabina Mazo;def.;Shana Dobson;Decision;August 17, 2019;1
Valentina Shevchenko;def.;Liz Carmouche;Decision;August 10, 2019;13
Vicente Luque;def.;Mike Perry;Decision;August 10, 2019;12
Luiz Eduardo Garagorri;def.;Humberto Bandenay;Decision;August 10, 2019;11
Volkan Oezdemir;def.;Ilir Latifi;KO;August 10, 2019;10
Rodolfo Vieira;def.;Oskar Piechota;Submission;August 10, 2019;9
Enrique Barzola;def.;Bobby Moffett;Decision;August 10, 2019;8
Gilbert Burns;def.;Alexey Kunchenko;Decision;August 10, 2019;7
Ciryl Gané;def.;Raphael Pessoa Nunes;Submission;August 10, 2019;6
Marina Rodriguez;def.;Tecia Torres;Decision;August 10, 2019;5
Rogério Bontorin;def.;Raulian Paiva Franzão;TKO;August 10, 2019;4
Chris Gutiérrez;def.;Geraldo de Freitas;Decision;August 10, 2019;3
Alex da Silva Coelho;def.;Rodrigo Vargas;Decision;August 10, 2019;2
Veronica Macedo;def.;Polyana Viana;Submission;August 10, 2019;1
Colby Covington;def.;Robbie Lawler;Decision;August 3, 2019;12
Jim Miller;def.;Clay Guida;Technical Submission;August 3, 2019;11
Nasrat Haqparast;def.;Joaquim Silva;KO;August 3, 2019;10
Gerald Meerschaert;def.;Trevin Giles;Technical Submission;August 3, 2019;9
Scott Holtzman;def.;Dong Hyun Ma;TKO;August 3, 2019;8
Kennedy Nzechukwu;def.;Darko Stošić;Decision;August 3, 2019;7
Mickey Gall;def.;Salim Touahri;Decision;August 3, 2019;6
Antonina Shevchenko;def.;Lucie Pudilová;Technical Submission;August 3, 2019;5
Matt Schnell;def.;Jordan Espinosa;Submission;August 3, 2019;4
Lauren Murphy;def.;Mara Romero Borella;TKO;August 3, 2019;3
Cláudio Silva;def.;Cole Williams;Submission;August 3, 2019;2
Miranda Granger;def.;Hannah Goldy;Decision;August 3, 2019;1
Max Holloway;def.;Frankie Edgar;Decision;July 27, 2019;11
Cris Cyborg;def.;Felicia Spencer;Decision;July 27, 2019;10
Geoff Neal;def.;Niko Price;TKO;July 27, 2019;9
Arman Tsarukyan;def.;Olivier Aubin-Mercier;Decision;July 27, 2019;8
Krzysztof Jotko;def.;Marc-André Barriault;Decision;July 27, 2019;7
Viviane Araújo;def.;Alexis Davis;Decision;July 27, 2019;6
Hakeem Dawodu;def.;Yoshinori Horie;TKO;July 27, 2019;5
Gavin Tucker;def.;Seung Woo Choi;Submission;July 27, 2019;4
Deiveson Figueiredo;def.;Alexandre Pantoja;Decision;July 27, 2019;3
Gillian Robertson;def.;Sarah Frota;TKO;July 27, 2019;2
Erik Koch;def.;Kyle Stewart;Decision;July 27, 2019;1
Leon Edwards;def.;Rafael dos Anjos;Decision;July 20, 2019;13
Walt Harris;def.;Aleksei Oleinik;KO;July 20, 2019;12
Greg Hardy;def.;Juan Adams;TKO;July 20, 2019;11
Dan Hooker;def.;James Vick;KO;July 20, 2019;10
Alexander Hernandez;def.;Francisco Trinaldo;Decision;July 20, 2019;9
Andrei Arlovski;def.;Ben Rothwell;Decision;July 20, 2019;8
Alex Caceres;def.;Steven Peterson;Decision;July 20, 2019;7
Raquel Pennington;def.;Irene Aldana;Decision;July 20, 2019;6
Klidson Abreu;def.;Sam Alvey;Decision;July 20, 2019;5
Jennifer Maia;def.;Roxanne Modafferi;Decision;July 20, 2019;4
Ray Borg;def.;Gabriel Silva;Decision;July 20, 2019;3
Mario Bautista;def.;Jin Soo Son;Decision;July 20, 2019;2
Felipe Colares;def.;Domingo Pilarte;Decision;July 20, 2019;1
Germaine de Randamie;def.;Aspen Ladd;TKO;July 13, 2019;12
Urijah Faber;def.;Ricky Simon;TKO;July 13, 2019;11
Josh Emmett;def.;Mirsad Bektić;TKO;July 13, 2019;10
